especie;coletor;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13
ALB;Almeida, T.E. 3135;100.17;8.17;3.00;65.31;99.63;65.90;34.27;0.88;0.75;0.23;0.24;0.40;0.42
ALB;Almeida, T.E. 3079;61.79;8.78;4.6;43.27;56.12;62.43;NA;NA;0.28;0.26;NA;0.43;0.49
ALB;Campos, J. 5173;67.72;6.47;2.61;50.22;65.33;59.58;8.14;0.46;0.83;0.22;0.24;0.26;0.31
ALB;Dillon, M. O. 4535;53.99;5.65;2.09;52.39;63.68;53.99;NA;NA;0.81;0.18;0.22;0.29;0.41
ALB;Espinosa, R. E2756;46.57;3.44;1.53;45.00;58.02;59.56;12.99;0.15;0.34;0.34;0.24;0.50;0.52
ALB;Labiak, P. 2811;110.17;8.97;3.64;56.31;67.86;79.64;30.53;0.85;0.2;0.21;0.67;0.32;0.36
ALB;Núñez, R. 240;98.53;6.28;2.41;50.06;64.20;73.07;14.10;0.42;0.73;0.22;0.20;0.28;0.31
ALB;Plowman, T. C. 3814;89.26;6.22;2.41;51.46;63.19;73.00;14.02;0.42;0.79;0.19;0.21;0.28;0.37
ALB;Vasque 2772;87.25;6.66;2.12;50.07;64.50;73.02;14.07;0.43;0.71;0.18;0.20;0.26;0.31
ALB;Villarroel, D. 67;89.30;6.40;2.96;60.34;95.17;76.59;12.71;0.92;0.71;0.22;0.20;0.38;0.40
ANO;Bang, M. 2447;74.73;2.78;1.44;82.74;74.44;57.18;9.01;0.29;0.58;0.14;0.16;0.78;0.18
ANO;Bonino, R. 166;38.91;2.01;0.87;79.91;54.16;40.39;NA;NA;0.15;0.21;0.26;0.57;0.08
ANO;Bonino, R. 319;62.84;1.14;0.47;72.40;67.50;61.56;6.29;0.16;0.51;0.16;0.16;0.14;0.16
ANO;Buchtien, O. 3528;102.21;1.52;0.74;74.51;67.47;81.74;16.28;0.21;0.47;0.23;0.17;NA;NA
ANO;Caballero, I. G.V. 1425;30.17;1.11;0.47;85.98;67.85;27.46;2.51;0.12;0.36;1.44;0.06;0.14;0.11
ANO;Jordán, C. G. 495;47.26;1.78;0.8;80.53;78.11;35.14;7.93;0.2;0.18;0.17;0.31;0.11;NA
ANO;Campos, J. 3616;62.99;4.28;2.20;72.77;49.02;61.88;NA;NA;0.57;0.27;0.21;0.21;0.17
ANO;Dillon, M. O. 1151;62.82;1.15;0.48;98.54;94.31;54.99;6.38;0.17;0.42;0.16;0.12;0.14;0.12
ANO;Macbride, J. F. 4041;49.99;1.91;0.80;71.56;66.83;67.64;2.87;0.07;0.64;0.18;0.18;0.06;NA
ANO;Smith, D.N. 1679;67.04;1.06;0.51;77.28;80.53;61.52;5.75;0.16;0.34;0.15;0.92;NA;0.19
CAR;Barringer, K. 1221;56.40;1.82;1.28;61.47;50.48;51.23;4.49;0.34;0.36;0.18;0.26;0.14;0.12
CAR;Buchtien, O. 3537;70.06;4.50;2.32;45.00;46.63;70.06;NA;NA;0.78;0.18;0.19;0.20;0.22
CAR;Campos, J. 2422;56.46;3.01;1.61;45.00;71.56;56.46;NA;NA;24.07;0.12;0.10;0.15;0.21
CAR;Campos, J. 2711;49.84;2.78;1.29;61.72;50.45;45.34;4.50;0.20;0.37;0.19;0.23;0.14;0.12
CAR;Farfán, J. 1185;56.53;4.06;3.31;1.87;59.52;51.67;4.86;0.34;0.36;0.98;0.28;0.23;0.19
